Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
N3066-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSP";São Paulo-SP;Dez;Out;Out;"SFI";"00058.045461/2022-60";"OS 1479/2022";"A"
N3067-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBRF";Recife-PE;Ago;Ago;Ago;"SFI";"00058.045499/2022-32";"OS 1206/2022";"A"
N3068-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBRF";Recife-PE;Ago;Ago;Ago;"SFI";"00058.045502/2022-18";"OS 1206/2022";"A"
N3069-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBRF";Recife-PE;Set;Set;Set;"SFI";"00058.045550/2022-14";"OS 1227/2022";"A"
N3070-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBRF";Recife-PE;Set;Set;Set;"SFI";"00058.045557/2022-28";"OS 1227/2022";"A"
N3071-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBRF";Recife-PE;Out;Out;Out;"SFI";"00058.045584/2022-09";"OS 1486/2022";"A"
N3072-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBRF";Recife-PE;Out;Out;Out;"SFI";"00058.045588/2022-89";"OS 1486/2022";"A"
N3073-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBRF";Recife-PE;Nov;Nov;Nov;"SFI";"00058.067440/2022-03";"OS 1701/2022";"A"
N3074-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBRF";Recife-PE;Nov;Nov;Nov;"SFI";"00058.067432/2022-59";"OS 1701/2022";"A"
N3075-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SIFC";Igarassu-PE;Ago;Ago;Ago;"SFI";"00058.045607/2022-77";"OS 1205/2022";"A"
N3076-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SIFC";Igarassu-PE;Ago;Ago;Ago;"SFI";"00058.045614/2022-79";"OS 1205/2022";"A"
N3077-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SIFC";Igarassu-PE;Set;Set;Set;"SFI";"00058.045622/2022-15";"OS 1228/2022";"A"
N3078-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SIFC";Igarassu-PE;Set;Set;Set;"SFI";"00058.045627/2022-48";"OS 1228/2022";"A"
N3079-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SIXE";Eldorado do Sul-RS;Ago;Ago;Ago;"SFI";"00058.045641/2022-41";"OS 1230/2022";"A"
N3080-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SIXE";Eldorado do Sul-RS;Set;Set;Set;"SFI";"00058.045645/2022-20";"OS 1495/2022";"A"
N3081-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SIXE";Eldorado do Sul-RS;Out;Out;Out;"SFI";"00058.045646/2022-74";"OS 1676/2022";"A"
N3082-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SIXE";Eldorado do Sul-RS;Nov;Nov;Nov;"SFI";"00058.045648/2022-63";"OS 1851/2022";"A"
N3083-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SIXE";Eldorado do Sul-RS;Dez;Dez;Dez;"SFI";"00058.045653/2022-76";"OS 1959/2022";"A"
N3084-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSV";Salvador-BA;Ago;Ago;Ago;"SFI";"00058.045664/2022-56";"NPI 7538417/2022/NURAC-SSA";"A"
N3085-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSV";Salvador-BA;Ago;Ago;Ago;"SFI";"00058.045669/2022-89";"NPI 7538521/2022/NURAC-SSA";"A"
N3086-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSV";Salvador-BA;Ago;Ago;Ago;"SFI";"00058.045672/2022-01";"NPI 7538650/2022/NURAC-SSA";"A"
N3087-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSN";Santarém - PA;Jun;Jun;Jun;"SFI";"00058.031666/2022-68";"OS N3087-22";"A"
N3088-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSV";Salvador-BA;Set;Ago;Ago;"SFI";"00058.045681/2022-93";"NPI 7609375/2022/NURAC-SSA";"A"
N3089-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSV";Salvador-BA;Set;Ago;Ago;"SFI";"00058.045684/2022-27";"NPI 7609417/2022/NURAC-SSA";"A"
N3090-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSV";Salvador-BA;Set;Set;Set;"SFI";"00058.045688/2022-13";"NPI 7637486/2022/NURAC-SSA";"A"
N3091-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSV";Salvador-BA;Out;Out;Out;"SFI";"00058.045690/2022-84";"NPI 7748191/2022/NURAC-SSA";"A"
N3092-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSV";Salvador-BA;Out;Out;Out;"SFI";"00058.045692/2022-73";"NPI 7748242/2022/NURAC-SSA";"A"
N3093-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSV";Salvador-BA;Out;Out;Out;"SFI";"00058.045693/2022-18";"NPI 7748253/2022/NURAC-SSA";"B"
N3094-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSV";Salvador-BA;Out;Out;Out;"SFI";"00058.045694/2022-62";"SIS_Ordem_de_Servico NPI 7748270/2022/NURAC-SSA";"B"
N3095-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSV";Salvador-BA;Nov;Nov;Nov;"SFI";"00058.045695/2022-15";"NPI 7870732/2022/NURAC-SSA";"A"
N3096-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSV";Salvador-BA;Nov;Nov;Nov;"SFI";"00058.045696/2022-51";"NPI 7870791/2022/NURAC-SSA";"A"
N3097-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSV";Salvador-BA;Nov;Nov;Nov;"SFI";"00058.045698/2022-41";"NPI 7870892/2022/NURAC-SSA";"A"
N3098-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSV";Salvador-BA;Nov;Nov;Nov;"SFI";"00058.045699/2022-95";"NPI 7870944/2022/NURAC-SSA";"A"
N3099-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBBI";CURITIBA-PR;Set;Nov;Nov;"SFI";"00058.064907/2022-55";"OS 1826/2022";"A"
