Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
1887-23;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"GATE TÁXI AÉREO LTDA";São Paulo - SP;Mai;Jul;Jul;"eduardo.faria";"00058.074980/2022-35";"Agendada para 05/07/2023";"A"
1888-23;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"HG Aviation";Rio de Janeiro - RJ;Mai;Jun;Jun;"gustavo.schettino";"00058.074920/2022-12";"REMOTA Agendada 13/06/2023";"A"
1890-23;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"HELINORTE TÁXI AÉREO";Porto Belo - SC;Jun;Fev;Fev;"gustavo.schettino";"00058.075502/2022-42";"REMOTO";"A"
1892-23;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"LOGO AIR TÁXI AÉREO LTDA";Igarassu - PE;Jun;Abr;Abr;"antonio.dias";"00058.075494/2022-34";"REMOTA";"A"
1893-23;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"BLACK TÁXI AÉREO";Belo Horizonte - MG;Jul;Fev;Fev;"gustavo.schettino";"00058.075517/2022-19";"REMOTA";"A"
1894-23;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"ELO TÁXI AÉREO";Belém - PA;Jul;Abr;Abr;"julio.bombarda";"00058.075515/2022-11";"REMOTA";"A"
1896-23;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"TMA TÁXI AÉREO LTDA.";São José dos Pinhais - PR;Jul;Mar;Mar;"gustavo.schettino";"00058.075513/2022-22";"REMOTA";"A"
1897-23;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"UNIÃO TÁXI AÉREO";Cuiabá - MT;Jul;Ago;Ago;"bruno.jesus";"00058.075512/2022-88";"REMOTA";"A"
1899-23;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"VEM AVIATION TÁXI AÉREO LTDA";Salvador - BA;Ago;Fev;Fev;"gustavo.schettino";"00058.075523/2022-68";"REMOTA";"A"
1900-23;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"VIA TÁXI AÉREO";Macaé - RJ;Ago;Abr;Abr;"eduardo.faria";"00058.075521/2022-79";" 806/2023";"A"
